1,В карточке маршрута отображается кнопка Детали маршрута,FAILED,PASSED,https://tracker.yandex.ru/BUG-761051,1.1,
2,"Временной интервал маршрута обновляется, если текущее время привышает время окончание маршрута.",FAILED,PASSED,https://tracker.yandex.ru/BUG-761160,1.2,
3,Выбор станции нажатием на сенсорный экран,PASSED,PASSED,,2.1,
4,Выбор станции найти в поиске,PASSED,PASSED,,2.1,
5,Открытие окна выбора станции кнопкой i,FAILED,PASSED,https://tracker.yandex.ru/BUG-762836,2.1,
6,"Если станция выбрана, точка станции на схеме уменьшается.",PASSED,PASSED,,2.1,с
7,"Если станция выбрана,на точке станции появляется пин цвета линии или специальный пин для закрытой станции.",PASSED,PASSED,,2.1,
8,"Станции выбарные ранее сохраняются в истории, при нажатии на поле откуда, или куда.",PASSED,PASSED,,,
9,"В выбранной станции,шрифт названия станции становится bold.",FAILED,PASSED,https://tracker.yandex.ru/BUG-761310,2.1,
Детали маршрута,,,,,,
10,Детали маршрута открываются по тапу на кнопку детали маршрута.,FAILED,PASSED,https://tracker.yandex.ru/BUG-761051,3.1,
11,Детали маршрута открываются по свайпу вверх в портретной орентации.,PASSED,PASSED,,3.1,
12,Детали маршрута открываются по свайпу вверх в альбомной орентации.,PASSED,PASSED,,3.1,
13,"Отображение маршрута при смене ориентации с портретной на ландшафную, детали маршрута отображаются в левой части экрана.",FAILED,PASSED,https://tracker.yandex.ru/BUG-761449,3.2,
Уведомление об ошибке,,,,,,
14,При отсутствии интернет-соединения появляется уведомление об ошибке.,FAILED,FAILED,https://tracker.yandex.ru/BUG-761526,4,
Логика для альбомной ориентации,,,,,,
15,Карточки маршрута и станции и поля поиска отображаются в левой части экрана.,FAILED,PASSED,https://tracker.yandex.ru/BUG-761607,5,
16,При смене ориентации экрана масштаб построенного маршрута не должен увеличиться или уменьшиться.,FAILED,PASSED,https://tracker.yandex.ru/BUG-761697,5,
Лонг-тап по станции,,,,,,
17,При нажатии на станцию при помощи лонг-тапа открывается карточка станции с кнопками «Отсюда»/«Сюда».,FAILED,PASSED,,6,
18,Схема не должна смещаться вверх/вниз/влево/вправо при лонгтапе по станции.,PASSED,FAILED,https://tracker.yandex.ru/BUG-776051,6,
Скролл схемы при помощи лонг-тапа,,,,,,
19,"При скролле лонгтапом можно выбрать нужную станцию, при этом схема остаётся неподвижной.",PASSED,PASSED,,7,
20,"При попадании на область клика точки станции или её названия, на точку ставится пин, точка станции уменьшается, название станции выделяется жирным шрифтом, появляется карточка станции.",PASSED,PASSED,,7,
21,"Пин на станции и выделение станции пропадает, когда она не попадает в зону клика.",PASSED,PASSED,,7,У меня пин на станции пропадает когда она не поподает в зону клика.
22,"Если движение заканчивается на пустой области, карточка станции закрывается.",PASSED,PASSED,,7,